"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.view.View: void setFocusable(boolean)>","1"
"<android.app.Activity: void setContentView(android.view.View)>","com.zhuoqiu.goodgxq.Vviews{83bd3a2 VFE...... ......I. 0,0-0,0}"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968588"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","1"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","2"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","3"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","4"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","5"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","6"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","7"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","1"
"<java.lang.StringBuffer: void setCharAt(int,char)>","6","5"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","s"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","h"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","a"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","d"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","w"
"<java.lang.StringBuffer: void setLength(int)>","5"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","m"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","n"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","e"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","y"
"<java.lang.StringBuffer: void setLength(int)>","5"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","t"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","t"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","e"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","r"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","g"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","h"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","t"
"<java.lang.StringBuffer: void setLength(int)>","5"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","e"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","f"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","t"
"<java.lang.StringBuffer: void setLength(int)>","3"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","u"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","p"
"<java.lang.StringBuffer: void setLength(int)>","5"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","d"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","w"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","n"
"<java.lang.StringBuffer: void setLength(int)>","5"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","h"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","d"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","e"
"<java.lang.StringBuffer: void setLength(int)>","5"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","m"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","e"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","n"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","u"
"<java.lang.StringBuffer: void setLength(int)>","5"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","p"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","u"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","s"
"<java.lang.StringBuffer: void setLength(int)>","6"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","m"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","n"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","u"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","s"
"<java.lang.StringBuffer: void setLength(int)>","7"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","i"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","s"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","e"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","e"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","c"
"<java.lang.StringBuffer: void setCharAt(int,char)>","6","t"
"<java.lang.StringBuffer: void setLength(int)>","12"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","u"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","e"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","u"
"<java.lang.StringBuffer: void setCharAt(int,char)>","6","t"
"<java.lang.StringBuffer: void setCharAt(int,char)>","7","t"
"<java.lang.StringBuffer: void setCharAt(int,char)>","8","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","9","n"
"<java.lang.StringBuffer: void setCharAt(int,char)>","10","5"
"<java.lang.StringBuffer: void setCharAt(int,char)>","11","0"
"<java.lang.StringBuffer: void setLength(int)>","13"
"<java.lang.StringBuffer: void setCharAt(int,char)>","0","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","1","l"
"<java.lang.StringBuffer: void setCharAt(int,char)>","2","u"
"<java.lang.StringBuffer: void setCharAt(int,char)>","3","e"
"<java.lang.StringBuffer: void setCharAt(int,char)>","4","b"
"<java.lang.StringBuffer: void setCharAt(int,char)>","5","u"
"<java.lang.StringBuffer: void setCharAt(int,char)>","6","t"
"<java.lang.StringBuffer: void setCharAt(int,char)>","7","t"
"<java.lang.StringBuffer: void setCharAt(int,char)>","8","o"
"<java.lang.StringBuffer: void setCharAt(int,char)>","9","n"
"<android.content.ContextWrapper: java.io.FileInputStream openFileInput(java.lang.String)>","vegaspool"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968592"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
"<java.lang.StringBuffer: void setLength(int)>","0"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130968576"
