"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","0.dat"
"<java.io.OutputStream: void write(byte[])>","[B@c9f307a"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","1.dat"
"<android.app.Activity: void setRequestedOrientation(int)>","4"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@e38d5811","0"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@e38d5811","0"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@e38d5811","0"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@e38d5811","0"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@e38d5811","0"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@e38d5811","0"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@e38d5811","0"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@e38d5811","0"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Typeface: android.graphics.Typeface create(android.graphics.Typeface,int)>","android.graphics.Typeface@e38d5811","0"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","IMG0"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","FILL"
